Country,M49 code,Region,Confidence in estimate,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),fbs_cereals_food_supply_kgcapyr,fbs_domestic_supply_qty,fbs_export_qty,fbs_fat_gcapday,fbs_feed,fbs_food_supply_kcalcapday,fbs_food_supply_kgcapyr,fbs_fruits_food_supply_kgcapyr,fbs_import_qty,fbs_losses,fbs_meat_food_supply_kgcapyr,fbs_milk_dairy_food_supply_kgcapyr,fbs_population,fbs_processing,fbs_protein_gcapday,fbs_residuals,fbs_seed,fbs_stock_variation,fbs_tourist_consumption,fbs_vegetables_food_supply_kgcapyr,cp_food_cpi,cp_general_cpi,cp_food_general_gap,qcl_area_harvested_total,qcl_production_cereals,qcl_production_fruits,qcl_production_meat,qcl_production_milk,qcl_production_roots_tubers,qcl_production_total,qcl_production_vegetables,qcl_yield_avg,ti_export_qty_idx,ti_export_uv_idx,ti_export_val_idx,ti_import_qty_idx,ti_import_uv_idx,ti_import_val_idx,ti_val_idx_gap
Afghanistan,4,Southern Asia,Very Low Confidence,126,82,16,28,3109153,594982,1051783,376.31333333333333,37642.333333333336,1917.6666666666667,2384237.7399999998,740.0,127633353.69666666,812.5066666666665,74.56,11762.666666666666,2795.6666666666665,16.956666666666663,86.94333333333333,38975.170000000006,1755.3333333333333,3517566.316666667,-322.6666666666667,938.3333333333334,683.3333333333334,,147.0233333333333,126.08599924999999,119.06756091666666,7.018438333333322,6997127.333333333,11457960.65333333,4924809.449999999,982999.8666666666,5114734.233333334,885296.0,29305386.313333333,1961736.7666666668,4674.431285600981,14186.645436943656,169.8231578182712,4580.612562029278,45080.2094982845,93.32127383427714,4504.522929202422,-76.08963282685545
Albania,8,Southern Europe,Very Low Confidence,127,83,16,28,238492,45058,79651,279.14,10342.333333333334,383.3333333333333,469637.7033333333,1788.3333333333333,13659937.066666665,2476.8733333333334,372.72333333333336,2119.6666666666665,703.6666666666666,81.38666666666667,628.97,2868.866666666667,440.0,472817.40666666673,-35.333333333333336,101.0,-46.333333333333336,,716.8133333333334,117.6698293611111,108.82284499999999,8.846984361111112,582894.6666666666,1506503.1966666665,1205230.4633333336,324466.5833333333,2307712.15,258136.33333333334,9527063.323333332,1714433.38,14546.104179434798,181.72510842135486,134.27731689257598,178.04153255662845,384.0490313374678,145.73830744745075,299.92803510724576,121.88650255061731
Algeria,12,Northern Africa,Very Low Confidence,135,91,16,28,3918529,673360,1190335,436.3166666666666,103710.0,1784.0,6267929.673333333,13097.333333333334,221646143.91,1698.326666666667,183.26999999999998,43742.666666666664,7955.666666666667,37.57,296.6233333333333,44032.579999999994,2182.6666666666665,6035006.1499999985,430.0,654.0,-2009.3333333333333,,435.1666666666667,115.55715463888889,124.31253866666667,-8.75538402777778,8606390.666666666,9030373.32,10995713.55,3310650.646666667,6745530.393333334,4680203.666666667,67440646.16000001,13142345.06,9494.457608695651,11438.696289290834,246.1740807950924,4460.750225097225,7584.836173380759,114.4527669782447,2756.136815820748,-1704.613409276477
Andorra,20,Southern Europe,Low Confidence,123,84,13,26,6497,988,1971,,,,,,,,,,,,,,,,,,,,,109.31386219444444,104.36436041666667,4.949501777777769,,,,,,,,,,,,,,,,
Angola,24,Sub-Saharan Africa,Very Low Confidence,144,100,16,28,3169523,497755,879908,188.22,60638.666666666664,284.6666666666667,2555099.8899999997,5003.333333333333,117571196.30666667,1253.37,132.35666666666665,7133.333333333333,5559.0,42.29,19.006666666666664,33453.06333333333,7118.0,2352177.5800000005,-10.666666666666666,616.3333333333334,-906.3333333333334,,75.69000000000001,304.2078500833333,298.1072380277778,6.10061205555553,12277563.333333334,7004508.38,11849160.833333334,772978.9766666666,444021.3633333333,11699785.0,52245109.79666666,3634137.3666666667,5842.252150537634,219992.69036619892,297.8971374621686,132566.42964961563,14423.097153731753,116.98208429080215,7710.605549615374,-124855.82410000026
Antigua and Barbuda,28,Latin America and the Caribbean,Low Confidence,113,74,13,26,7178,1244,2483,187.22333333333336,210.33333333333334,6.666666666666667,13116.859999999999,4.666666666666667,338504.63666666666,1591.3433333333332,391.63000000000005,192.33333333333334,1.0,170.35333333333332,205.03333333333333,91.85333333333331,2.6666666666666665,12833.933333333332,25.666666666666668,0.0,9.666666666666666,22.666666666666668,179.54666666666665,108.64954183333333,105.80011033333334,2.8494314999999943,5969.333333333333,2111.11,16631.913333333334,405.1966666666667,5501.953333333334,320.06333333333333,39539.636666666665,1311.8533333333335,3748.1757885763,523.4115411681913,284.5726014543748,609.4212962962963,439.7544220771775,151.94489919838216,417.51222410865876,-191.90907218763755
Argentina,32,Latin America and the Caribbean,Very Low Confidence,116,72,16,28,3243563,700380,1238100,280.21,278844.6666666667,148507.66666666666,8659284.87,46435.0,217427534.4666666,1649.1666666666667,143.59,13824.333333333334,7895.333333333333,223.85,342.0233333333333,45159.236666666664,130431.0,7731877.693333332,737.3333333333334,5598.0,10365.0,,170.51,435.79707433333334,423.8363583333333,11.960716000000048,94707832.33333333,175035378.14666668,14783124.436666667,18051721.956666667,24316098.783333335,3148829.016666667,428824244.55,6610696.3133333335,9313.22561728395,238.58970430619055,93.22099321416238,208.45556317801802,64264.12710280729,144.31973079303017,3760.616031297594,3552.160468119576
Armenia,51,Western Asia,Very Low Confidence,137,93,16,28,275195,46259,81775,337.75666666666666,8049.0,581.6666666666666,463781.22666666674,1140.6666666666667,13221265.456666669,1921.49,195.49333333333334,2438.0,386.6666666666667,112.96,454.32333333333327,2888.403333333333,717.3333333333334,442539.73999999993,-26.333333333333332,225.33333333333334,-173.0,,432.9833333333333,109.19162144444444,106.90016519444445,2.2914562499999818,441390.0,420471.6966666666,1018783.0866666666,316898.73666666663,1357491.0866666667,401946.5333333334,6473813.943333332,1119998.4966666666,8519.972058823529,5802.462858965952,123.10131071486488,9917.194894085462,1347.3270833333333,100.47306079664571,963.5701406553944,-8953.624753430067
Aruba,533,Latin America and the Caribbean,Low Confidence,113,74,13,26,7858,1362,2718,,,,,,,,,,,,,,,,,,,,,114.89022013888889,105.1945346388889,9.695685499999996,,,,,,,,,,,,,,,,
Australia,36,Australia and New Zealand,High Confidence,133,102,9,22,2563110,238248,546340,218.1966666666667,156179.0,77706.66666666667,5916196.963333332,22527.666666666668,130573604.92333333,2017.76,155.53666666666666,21122.0,3881.3333333333335,227.41,459.53999999999996,25727.64,74674.0,4549479.593333334,-1330.0,2060.6666666666665,-2732.3333333333335,,322.18666666666667,107.4653445,108.36789533333332,-0.9025508333333221,52263126.333333336,89457933.36,7523745.713333334,13495360.593333334,21123785.946666665,1353193.18,235590335.16666666,2936923.8699999996,11946.082901568565,114.50902284613267,414.4461546930911,127.04562478719782,330.317874790335,3495.760041253003,218.39326352055852,91.3476387333607
